time,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,temp
0.00,10.320611,8.496183,-3.816794,-0.010498047,0.030761718,0.815917936,30.0358816
0.00,6.9694652,6.6412216,1.8473282,-0.056640624,0.079833984,0.83984376,30.0358816
0.00,10.61832,7.61832036,-3.335878,-0.009033203,0.07324219,0.9621582,29.988822
1.00,4.3587784,-3.7633588,-1.870229,-0.17407226,0.08666992,0.867431632,30.0358816
1.00,-2.9541984,3.89312984,10.793893,-0.115478516,0.12182617,0.8105469,30.0358816
1.00,-13.969465,7.076336,16.19084,0.05883789,0.06665039,0.8251953,30.13
1.00,12.572519,1.648855,0.60305348,0.168701168,0.041748048,0.95874024,30.0358816
1.00,10.854961,-0.99236643,-18.91603,0.05493164,0.06982422,0.8005371,30.08294
1.00,4.4351144,8.328244,-13.297709,-0.18139648,0.037841796,0.8376465,29.941762
1.00,10.679389,5.4274808,8.763359,-0.175292976,0.1496582,0.7507324,30.13
2.00,-6.6412216,4.2137404,18.206106,-0.06933594,0.07763672,0.8605957,30.0358816
2.00,-3.6183208,5.7709924,8.053435,0.11621094,0.052978516,0.9555664,30.0358816
2.00,0.53435116,-3.908397,-9.251908,0.07543945,0.03100586,0.9160156,29.941762
2.00,7.5725192,-3.1145038,-24.06107,-0.024169922,0.05834961,0.81469732,30.08294
2.00,9.007633,5.2290076,-4.587786,-0.214111332,0.08227539,0.8696289,30.08294
2.00,-11.030535,4.2442748,9.854961,-0.15576172,0.095458984,0.8852539,30.0358816
3.00,-15.366412,3.5114504,15.709924,-0.010253906,0.005126953,0.86083984,30.0358816
3.00,0.07633588,5.9465648,4.7557252,0.13183594,0.01171875,0.9741211,30.0358816
3.00,3.7175572,-5.374046,-13.969465,0.10058594,0.006591797,0.8947754,30.0358816
3.00,12.59542,7.442748,-22.114504,-0.03515625,0.034179688,0.85595704,30.0358816
3.00,2.4503818,10.312977,-6.2137404,-0.2253418,0.033447264,0.8894043,29.988822
3.00,-9.106871,6.3129772,13.122137,-0.15307617,0.04272461,0.8947754,29.941762
4.00,2.778626,18.954198,18.404582,-0.00048828124,0.004638672,0.832031236,29.988822
4.00,1.4885496,-3.9923664,2.1984732,0.10107422,0.015136719,0.961181632,30.0358816
4.00,6.259542,-3.89312984,-17.57252,0.032714844,0.005859375,0.9614258,30.0358816
4.00,3.5038168,-0.8778626,-22.08397,-0.110839836,0.023925782,0.80859376,29.941762
4.00,5.4732824,4.3129772,0.10687023,-0.20141602,-0.0126953128,0.88305668,30.0358816
4.00,-23.08397,-8.0992368,21.793894,-0.05810547,-0.045410156,0.9995117,30.08294
5.00,5.4732824,7.90076336,17.503816,0.15820312,-0.04711914,0.9001465,30.08294
5.00,22.908398,12.251908,-6.816794,0.14501953,-0.013671875,0.84716796,29.894704
5.00,7.0916032,2.053435,-22.93893,0.0014648438,0.0061035156,0.8129883,30.08294
