time,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,temp
0.00,4.0534352,7.0534352,-0.90076332,0.036376952,0.04711914,0.8742676,30.08294
1.00,3.8625954,3.557252,-0.259542,0.014160156,0.060546876,0.8815918,29.988822
1.00,4.0152676,1.5419847,-0.007633588,0.018554688,0.0539550768,0.8742676,29.941762
1.00,0.70229008,5.8320612,-0.870229,0.0214843736,0.049072264,0.89746092,29.941762
1.00,4.114504,-0.015267176,0.16030534,0.011474609,0.05126953,0.90234376,29.941762
1.00,7.87022932,-5.9770992,-0.32824428,0.037353516,0.0539550768,0.8835449,29.988822
1.00,5.7099236,2.3435114,0.8015267,0.07543945,0.08081055,0.79711912,29.847644
1.00,-3.610687,15.587787,-3.4885496,0.046875,0.057861328,0.8334961,30.0358816
2.00,5.0458016,4.70229,-0.5801527,-0.014892578,0.05053711,0.9580078,30.0358816
2.00,3.870229,-13.290076,-1.4656489,0.03881836,0.025634766,0.9343262,29.988822
2.00,0.60305348,0.28244276,-2.0992368,0.06762695,0.09448242,0.7607422,29.988822
2.00,-3.0458016,22.38168,-7.68702268,0.0383300768,0.049804688,0.85058592,29.988822
2.00,-0.648855,8.122137,-1.69465652,-0.036621092,0.03857422,0.9333496,29.941762
2.00,5.9389316,-18.0,2.0839694,-0.059570312,0.044921876,1.0065918,29.988822
2.00,5.9083968,-4.2748092,-0.007633588,0.083496092,0.06542969,0.74975584,30.0358816
3.00,1.7328244,22.42748,-3.1755726,0.008544922,0.05419922,0.8815918,29.894704
3.00,1.4122137,10.625955,-1.3664122,-0.03466797,0.04345703,0.96069336,29.941762
3.00,3.77099232,-17.32061,1.0229008,-0.020263672,0.031982422,0.97094728,29.941762
3.00,9.916031,-12.106871,0.221374052,0.067871096,0.057617188,0.8276367,29.941762
3.00,-0.870229,22.564886,-2.0839694,0.03955078,0.076171868,0.8249512,30.0358816
3.00,-0.3740458,17.351144,0.15267176,-0.024658204,0.0390625,0.9338379,29.988822
4.00,7.221374,-20.076336,1.5343511,-0.021240234,0.036376952,0.90649416,29.847644
4.00,13.977099,-12.38168,1.0152671,0.07348633,0.07128906,0.77905272,29.988822
4.00,-5.6870228,22.671754,-4.5114504,0.049560548,0.061523436,0.7922363,30.0358816
4.00,-3.1526718,21.29771,-4.9160304,-0.012207031,0.015380859,0.9055176,30.0358816
4.00,11.297709,-5.0,0.21374046,-0.08984375,0.017333984,1.0246582,29.894704
4.00,7.7557256,-21.496184,-1.648855,0.044677736,0.05859375,0.7973633,30.0358816
5.00,10.877863,16.824426,-0.33587788,0.08251953,0.071777348,0.7182617,29.941762
5.00,-0.29007636,28.862594,-5.335878,-0.024414062,0.059570312,0.8522949,29.894704
5.00,-0.8549618,6.412214,-4.2748092,-0.1015625,0.0253906252,1.0200195,29.941762
5.00,12.473283,-35.38168,3.3435114,-0.026123046,0.044921876,0.93359376,29.988822
5.00,5.816794,0.5496183,2.0305342,0.060302736,0.08886719,0.75268552,30.0358816
5.00,-9.40458,24.778626,-4.5343512,0.044433592,0.049560548,0.80371096,29.941762
6.00,2.259542,15.893129,-2.8854962,-0.104003908,0.00024414064,1.1047363,29.988822
6.00,10.290076,-23.435114,1.4580153,-0.010986328,0.022949218,0.89086916,30.0358816
6.00,7.374046,7.58015236,0.5038168,0.08862305,0.08203125,0.7038574,29.894704
6.00,-12.320611,27.404582,-5.847328,0.014892578,0.049072264,0.8234863,29.988822
6.00,0.793893168,9.656488,-0.70229008,-0.1262207,0.0034179688,1.1269531,29.988822
7.00,5.70229,-31.4427484,3.5801528,-0.026611328,0.036621092,0.90649416,29.988822
7.00,11.38168,-0.5801527,0.229007632,0.10913086,0.05859375,0.6899414,30.13
7.00,-0.977099264,20.755726,-2.519084,0.030517578,0.049072264,0.8305664,29.894704
7.00,7.7557256,18.053434,1.8091604,-0.068115232,-0.017822266,1.0634766,30.0358816
7.00,8.541985,-26.19084,2.7557252,-0.06542969,0.0078125,0.9929199,29.941762
7.00,-1.4732824,-11.267176,-2.7633588,0.06298828,0.07104492,0.7421875,29.941762
8.00,-2.5038168,30.87023,-4.1603056,0.032470704,0.050048828,0.820068336,29.988822
8.00,-3.5038168,15.0,-5.6183204,-0.06201172,0.034423828,0.9655762,30.0358816
8.00,14.916031,-25.847328,3.91603068,-0.056640624,-0.0012207031,1.0146484,30.0358816
8.00,5.2671756,10.748092,2.3587788,0.083740232,0.06591797,0.748535136,30.0358816
8.00,-4.847328,26.923664,-7.89313,0.02758789,0.042236328,0.8286133,29.941762
9.00,0.8396947,11.732824,0.3816794,-0.092041016,0.016357422,1.0356445,29.988822
9.00,25.969466,-28.977098,6.068702,0.0078125,0.009521484,0.9016113,29.847644
9.00,5.3893128,10.374045,-0.6259542,0.10864258,0.09448242,0.72314456,30.0358816
9.00,-19.503816,30.755726,-13.267176,0.0075683592,0.03149414,0.8156738,29.894704
9.00,-14.503817,25.419848,-7.442748,-0.0793457,-0.02709961,0.9770508,29.941762
9.00,19.335878,-16.259542,1.2519084,-0.08959961,-0.036621092,1.0078125,29.847644
10.00,16.305344,-20.0,5.2061068,0.02734375,0.022705078,0.8166504,29.941762
10.00,-4.7633584,12.992367,-0.13740458,0.08325195,0.052001952,0.733398436,29.894704
10.00,-12.541985,31.717558,-7.5648856,0.018066406,0.028564454,0.7192383,29.988822
10.00,10.320611,3.870229,-4.3587784,-0.14550781,-0.044433592,1.1767578,29.988822
10.00,12.0992368,-37.198476,2.870229,-0.034179688,-0.006591797,0.8703613,29.988822
10.00,3.076336,1.2137405,-0.03816794,0.055908204,0.048339844,0.7590332,30.0358816
10.00,-10.7786252,23.70229,-4.7175576,0.036132812,0.026611328,0.8293457,29.988822
11.00,8.671756,14.679389,0.3740458,-0.061035156,-0.02368164,0.98217776,30.08294
11.00,15.625955,-24.259542,4.3435116,-0.07324219,-0.0009765625,0.9980469,29.941762
11.00,13.770992,-13.5801532,1.78625952,0.07373047,0.05810547,0.7819824,29.847644
11.00,-6.0076336,14.770992,-2.335878,0.068359376,0.06762695,0.7507324,30.0358816
11.00,-5.7175576,27.694656,-4.2366416,-0.026367188,0.05883789,0.861084,29.941762
11.00,3.1068702,8.503817,-0.4427481,-0.12597656,-0.0007324219,1.0493164,29.941762
12.00,10.870229,-30.885496,1.832061,-0.013916016,0.023925782,0.8547363,29.941762
12.00,-4.3053436,4.5648856,-1.4427481,0.08496094,0.07397461,0.7126465,29.941762
12.00,-1.5114504,19.534352,-7.7709923,0.0068359376,0.03466797,0.86865232,29.894704
12.00,7.5496184,-0.045801528,0.099236648,-0.079833984,-0.013183594,1.0654297,30.0358816
12.00,16.412214,-30.961832,4.70229,0.0014648438,0.028320312,0.8808594,29.988822
12.00,0.6793893,12.137404,1.0534351,0.11816406,0.095703128,0.7121582,29.941762
13.00,-10.694656,27.4427484,-5.1603056,-0.015136719,0.02758789,0.8991699,29.988822
13.00,-0.244274816,4.9007636,-4.366412,-0.09643555,-0.015625,1.0939942,29.988822
13.00,-3.221374,-35.70229,-2.5648854,0.018554688,0.045410156,0.8574219,29.988822
13.00,18.755726,5.854962,4.923664,0.12866211,0.083496092,0.7277832,29.941762
13.00,-15.961832,40.48855,-3.8778628,0.03955078,0.041503908,0.85009768,29.941762
13.00,-9.427481,17.343512,-2.1221372,-0.0625,-0.018310546,0.96362308,29.941762
14.00,30.984734,-26.328246,4.9694656,-0.044677736,0.01171875,0.9326172,30.0358816
14.00,8.755725,-19.29771,-1.8091604,0.08911133,0.051513672,0.8125,29.988822
14.00,1.961832,20.946566,1.5038168,0.12036133,0.07397461,0.71875,29.988822
14.00,-13.053435,39.51145,-5.6946564,0.026123046,0.005859375,0.8391113,29.941762
14.00,-1.69465652,4.5343512,-1.72519084,-0.1484375,-0.052734376,1.050293,29.941762
14.00,18.93893,-34.984732,3.7251908,-0.03564453,0.0253906252,0.82373048,29.941762
15.00,6.1603056,13.442748,-0.03816794,0.14208984,0.072265624,0.640625,29.941762
15.00,-6.740458,44.15267,-7.061069,-0.0014648438,0.059570312,0.8093262,30.08294
15.00,-3.961832,15.480916,-3.091603,-0.1845703,0.0021972656,1.0805664,29.988822
15.00,11.671756,-40.572516,2.6259542,-0.075927736,-0.024658204,0.9147949,29.894704
15.00,8.4198472,-9.244275,-1.0610686,0.0546875,0.09716797,0.78222652,29.988822
16.00,-6.4198476,27.91603,-3.038168,0.017822266,0.040527344,0.8588867,29.988822
16.00,-21.091602,22.274808,-8.511451,-0.15991211,-0.022949218,0.99316408,29.894704
16.00,16.152672,-30.496184,5.221374,-0.0922851568,-0.02734375,0.99121096,30.0358816
16.00,16.259542,-19.992366,0.061068704,0.06616211,0.09887695,0.6887207,29.941762
16.00,-3.8396948,25.664122,0.3816794,0.044677736,0.068847656,0.7702637,30.0358816
16.00,-26.595418,32.068704,-10.175572,-0.08959961,0.016601562,0.88012696,30.0358816
17.00,29.167938,-14.557252,9.4198472,-0.14770508,-0.047851564,1.0341797,30.0358816
17.00,12.541985,-29.221374,1.7709924,0.041503908,0.05859375,0.81933592,29.988822
17.00,4.9083968,26.8015268,1.9694656,0.03173828,0.049072264,0.8901367,29.988822
17.00,-12.496183,23.038168,-4.625954,-0.106933592,0.028808594,1.0083008,29.988822
17.00,17.458016,-31.274808,4.10687,-0.092041016,-0.029541016,1.0627442,29.894704
18.00,13.175572,-21.717558,4.2137404,0.03149414,0.06591797,0.7746582,29.988822
18.00,4.2748092,10.664123,0.007633588,0.103515624,0.08520508,0.6574707,29.988822
18.00,-9.320611,26.206106,-1.961832,-0.020019532,0.02734375,0.8691406,29.941762
18.00,-12.480916,23.587786,-3.221374,-0.07836914,0.018798828,0.99975584,29.847644
18.00,16.404582,-24.656488,5.3816796,-0.13452148,0.0053710936,1.0126953,29.941762
18.00,7.4274808,-35.908396,-1.5267176,0.015625,0.03491211,0.87402344,29.894704
18.00,9.015267,-0.8091603,7.16793836,0.14428711,0.10180664,0.57910156,29.941762
19.00,-9.40458,45.85496,-4.80916,0.036376952,0.004638672,0.79345704,29.988822
19.00,-20.503816,24.419848,-5.5496184,-0.08569336,-0.021240234,0.9572754,29.894704
19.00,18.022902,-23.625954,2.6717558,-0.09887695,-0.0554199232,1.0585938,29.894704
19.00,22.5190832,-8.755725,1.72519084,0.09423828,0.07324219,0.6694336,29.894704
19.00,-13.030535,26.091602,-3.91603068,0.06738281,0.057373048,0.7331543,29.941762
19.00,-8.374045,33.38168,-6.3587784,-0.18530274,-0.0461425784,1.0771484,29.988822
20.00,7.2366416,-10.38168,-2.5801528,-0.19604492,-0.08544922,1.1477051,29.941762
20.00,20.267176,-51.23664,4.0076336,0.021240234,-0.007080078,0.74731448,29.894704
20.00,6.335878,3.0687022,-1.3664122,0.13720703,0.10180664,0.60791016,29.988822
20.00,-14.267176,43.045804,-6.038168,0.00732421868,0.037353516,0.7663574,29.941762
20.00,4.9847324,16.206106,1.4580153,-0.12158203,-0.068603512,1.0634766,29.988822
20.00,21.122138,-35.984732,1.0839695,-0.08691406,-0.01928711,1.0046387,29.941762
21.00,10.030535,-17.57252,0.7099237,0.12841797,0.06298828,0.68725584,29.988822
21.00,-1.5343511,25.87023,-2.389313,0.09692383,0.044677736,0.7937012,29.941762
21.00,-22.290078,49.755724,-13.664123,-0.052490236,0.057128908,0.864501936,29.988822
21.00,-1.3587786,15.412213,-0.1908397,-0.15454102,-0.05126953,0.9748535,29.988822
21.00,21.534352,-43.160304,7.335878,-0.030273438,-0.06347656,0.88916016,29.894704
